"length","kips","min_thkn","max_thkn","min_wght_asd","limit_state_asd","slenderRat"
48,0,0.25,24,"0.84_0.294","Tensile_Yielding",218.9317209
48,0,0.25,12,"0.84_0.294","Tensile_Yielding",218.9317209
48,0,0.375,72,"1.66_0.382","Tensile_Yielding",101.7824427
48,0,0.375,36,"1.66_0.382","Tensile_Yielding",101.7824427
48,0,0.375,24,"1.66_0.382","Tensile_Yielding",101.7824427
48,0,0.375,12,"1.66_0.382","Tensile_Yielding",101.7824427
54,0,0.1875,72,"0.84_0.188","Tensile_Yielding",225.0859853
54,0,0.1875,36,"0.84_0.188","Tensile_Yielding",225.0859853
54,0,0.1875,24,"0.84_0.188","Tensile_Yielding",225.0859853
54,0,0.1875,12,"0.84_0.188","Tensile_Yielding",225.0859853
54,0,0.25,72,"0.84_0.294","Tensile_Yielding",246.298186
54,0,0.25,36,"0.84_0.294","Tensile_Yielding",246.298186
54,0,0.25,24,"0.84_0.294","Tensile_Yielding",246.298186
54,0,0.25,12,"0.84_0.294","Tensile_Yielding",246.298186
54,0,0.375,72,"1.66_0.382","Tensile_Yielding",114.505248
54,0,0.375,36,"1.66_0.382","Tensile_Yielding",114.505248
54,0,0.375,24,"1.66_0.382","Tensile_Yielding",114.505248
54,0,0.375,12,"1.66_0.382","Tensile_Yielding",114.505248
60,0,0.1875,72,"0.84_0.188","Tensile_Yielding",250.0955392
60,0,0.1875,36,"0.84_0.188","Tensile_Yielding",250.0955392
60,0,0.1875,24,"0.84_0.188","Tensile_Yielding",250.0955392
60,0,0.1875,12,"0.84_0.188","Tensile_Yielding",250.0955392
60,0,0.25,72,"0.84_0.294","Tensile_Yielding",273.6646511
60,0,0.25,36,"0.84_0.294","Tensile_Yielding",273.6646511
60,0,0.25,24,"0.84_0.294","Tensile_Yielding",273.6646511
60,0,0.25,12,"0.84_0.294","Tensile_Yielding",273.6646511
60,0,0.375,72,"1.66_0.382","Tensile_Yielding",127.2280533
60,0,0.375,36,"1.66_0.382","Tensile_Yielding",127.2280533
60,0,0.375,24,"1.66_0.382","Tensile_Yielding",127.2280533
60,0,0.375,12,"1.66_0.382","Tensile_Yielding",127.2280533
66,0,0.1875,72,"0.84_0.188","Tensile_Yielding",275.1050931
66,0,0.1875,36,"0.84_0.188","Tensile_Yielding",275.1050931
66,0,0.1875,24,"0.84_0.188","Tensile_Yielding",275.1050931
66,0,0.1875,12,"0.84_0.188","Tensile_Yielding",275.1050931
66,0,0.25,72,"0.84_0.294","Tensile_Yielding",301.0311162
66,0,0.25,36,"0.84_0.294","Tensile_Yielding",301.0311162
66,0,0.25,24,"0.84_0.294","Tensile_Yielding",301.0311162
66,0,0.25,12,"0.84_0.294","Tensile_Yielding",301.0311162
66,0,0.375,72,"1.66_0.382","Tensile_Yielding",139.9508587
66,0,0.375,36,"1.66_0.382","Tensile_Yielding",139.9508587
66,0,0.375,24,"1.66_0.382","Tensile_Yielding",139.9508587
66,0,0.375,12,"1.66_0.382","Tensile_Yielding",139.9508587
72,0,0.1875,72,"0.84_0.188","Tensile_Yielding",300.114647
72,0,0.1875,36,"0.84_0.188","Tensile_Yielding",300.114647
72,0,0.1875,24,"0.84_0.188","Tensile_Yielding",300.114647
72,0,0.1875,12,"0.84_0.188","Tensile_Yielding",300.114647
72,0,0.25,72,"0.84_0.294","Tensile_Yielding",328.3975814
72,0,0.25,36,"0.84_0.294","Tensile_Yielding",328.3975814
72,0,0.25,24,"0.84_0.294","Tensile_Yielding",328.3975814
72,0,0.25,12,"0.84_0.294","Tensile_Yielding",328.3975814
72,0,0.375,72,"1.66_0.382","Tensile_Yielding",152.673664
72,0,0.375,36,"1.66_0.382","Tensile_Yielding",152.673664
72,0,0.375,24,"1.66_0.382","Tensile_Yielding",152.673664
72,0,0.375,12,"1.66_0.382","Tensile_Yielding",152.673664
78,0,0.1875,72,"0.84_0.188","Tensile_Yielding",325.1242009
78,0,0.1875,36,"0.84_0.188","Tensile_Yielding",325.1242009
78,0,0.1875,24,"0.84_0.188","Tensile_Yielding",325.1242009
78,0,0.1875,12,"0.84_0.188","Tensile_Yielding",325.1242009
78,0,0.25,72,"0.84_0.294","Tensile_Yielding",355.7640465
78,0,0.25,36,"0.84_0.294","Tensile_Yielding",355.7640465
78,0,0.25,24,"0.84_0.294","Tensile_Yielding",355.7640465
78,0,0.25,12,"0.84_0.294","Tensile_Yielding",355.7640465
78,0,0.375,72,"1.66_0.382","Tensile_Yielding",165.3964693
78,0,0.375,36,"1.66_0.382","Tensile_Yielding",165.3964693
78,0,0.375,24,"1.66_0.382","Tensile_Yielding",165.3964693
78,0,0.375,12,"1.66_0.382","Tensile_Yielding",165.3964693
84,0,0.1875,72,"0.84_0.188","Tensile_Yielding",350.1337549
84,0,0.1875,36,"0.84_0.188","Tensile_Yielding",350.1337549
84,0,0.1875,24,"0.84_0.188","Tensile_Yielding",350.1337549
